key,filename,status,generated_at,generator,prompt_record
apple-cider-vinegar,apple-cider-vinegar.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
apple,apple.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
avocado,avocado.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
baking-powder,baking-powder.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
banana,banana.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
blueberries,blueberries.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
bread,bread.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
butter,butter.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
cardamom,cardamom.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
carrots,carrots.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
celery,celery.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
cheese,cheese.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
chia,chia.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
chicken,chicken.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
cinnamon,cinnamon.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
cocoa,cocoa.png,verified,2026-07-30,OpenAI imagegen,historical-prompt-missing
coconut-milk,coconut-milk.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
coffee,coffee.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
cottage-cheese,cottage-cheese.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
crispbread,crispbread.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
dark-chocolate,dark-chocolate.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
deli-meat,deli-meat.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
dry-yeast,dry-yeast.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
egg,egg.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
flour,flour.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
fruit-berries,fruit-berries.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
ginger,ginger.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
jam,jam.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
kiwi,kiwi.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
mango,mango.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
milk,milk.png,verified,2026-07-30,OpenAI imagegen,historical-prompt-missing
nutmeg,nutmeg.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
oil,oil.png,verified,2026-08-01,OpenAI imagegen,florir-ui-fixes-iteration
oats,oats.png,verified,2026-07-30,OpenAI imagegen,historical-prompt-missing
peach,peach.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
peanut-butter,peanut-butter.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
pumpkin-seeds,pumpkin-seeds.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
raspberries,raspberries.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
salt,salt.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
seed-mix,seed-mix.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
sesame,sesame.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
spinach,spinach.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
strawberries,strawberries.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
sugar,sugar.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
sunflower-seeds,sunflower-seeds.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
syrup,syrup.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
tortilla,tortilla.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
vegetable-mix,vegetable-mix.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
walnuts,walnuts.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
water,water.png,verified,2026-07-30,OpenAI imagegen,historical-prompt-missing
yogurt,yogurt.png,verified,2026-07-31,OpenAI imagegen,reconstructed-template
